"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","227,329,704","±10,303"
"    Income in the past 12 months below poverty level:","23,950,759","±121,837"
"        Male:","9,933,667","±52,898"
"            Less than high school graduate","2,486,591","±20,799"
"            High school graduate (includes equivalency)","3,577,265","±27,699"
"            Some college, associate's degree","2,303,244","±15,821"
"            Bachelor's degree or higher","1,566,567","±11,148"
"        Female:","14,017,092","±74,097"
"            Less than high school graduate","3,109,129","±29,443"
"            High school graduate (includes equivalency)","4,828,189","±36,506"
"            Some college, associate's degree","3,935,500","±21,298"
"            Bachelor's degree or higher","2,144,274","±10,872"
"    Income in the past 12 months at or above poverty level:","203,378,945","±129,149"
"        Male:","100,324,673","±55,792"
"            Less than high school graduate","9,502,538","±59,844"
"            High school graduate (includes equivalency)","26,341,036","±118,693"
"            Some college, associate's degree","27,470,517","±42,990"
"            Bachelor's degree or higher","37,010,582","±199,749"
"        Female:","103,054,272","±78,803"
"            Less than high school graduate","8,062,415","±54,253"
"            High school graduate (includes equivalency)","23,819,973","±96,262"
"            Some college, associate's degree","29,896,592","±36,665"
"            Bachelor's degree or higher","41,275,292","±206,590"